"","eventSec","y1","x1","is_goal","is_blocked","is_CA","body_part","foot","angle","distance","minute"
"4458",1767,25,8.4,0,0,0,"head/body","right",0.0898937045478396,92.0410777859538,29
"4459",1998,30.25,11.55,0,0,1,"right","right",0.0815005473543506,88.529458374035,33
"4460",2058,8.41,12.6,1,0,0,"right","right",0.403408841252521,91.0692489262978,34
"4461",2601,22.09,6.3,1,0,0,"right","right",0.0894348315778656,94.453894043602,43
"4462",489,50.41,6.3,0,0,0,"right","right",0.0179597721883957,95.1261168134178,8
"4463",723,6.25,25.2,0,0,0,"left","right",0.272259174360344,79.7815924884932,12
"4464",845,44.89,15.75,1,0,0,"left","left",0.0512002465486191,84.9508952277726,14
"4465",1322,26.01,14.7,0,0,0,"right","right",0.121780896284917,85.6733920187592,22
"4466",1629,16,6.3,1,0,0,"left","left",0.161930999783616,95.4132590366769,27
"4467",1952,22.09,5.25,1,0,0,"left","left",0.0763842994074475,95.4956051344773,33
"4468",2271,27.04,23.1,0,0,0,"left","right",0.134311345736021,77.2143225056077,38
"4469",2334,28.09,3.15,0,0,0,"left","right",0.0293433239836014,97.0301530453292,39
"4470",2712,25,28.35,0,0,0,"left","left",0.145587378935165,72.2130355268355,45
"4471",780,26.01,14.7,0,0,0,"right","right",0.121780896284917,85.6733920187592,13
"4472",1930,43.56,11.55,0,0,0,"right","right",0.0418822187383214,88.9651398020596,32
"4473",414,24.01,17.85,0,0,0,"right","right",0.14712134981098,82.7551968156683,7
"4474",628,6.25,18.9,0,0,0,"left","right",0.346739626942446,85.7162324183699,10
"4475",793,16,26.25,0,0,0,"right","right",0.203391404488741,75.9148371532206,13
"4476",2621,27.04,11.55,0,0,0,"head/body","right",0.0990045824864272,88.7234134825752,44
"4477",2701,16.81,17.85,0,0,0,"right","right",0.218732351577957,83.9292475839025,45
"4478",2705,14.44,10.5,0,0,0,"right","left",0.246574555580381,91.6124642174852,45
"4479",140,10.89,14.7,0,0,0,"right","right",0.323174307020258,88.3751214992093,2
"4480",205,12.25,13.65,0,0,0,"right","right",0.300016022542638,89.0470942816216,3
"4481",363,22.09,15.75,0,0,0,"left","right",0.158207807995985,85.087664205806,6
"4482",592,9,23.1,0,0,0,"right","right",0.274168144738264,80.8616720084367,10
"4483",1170,11.56,14.7,0,0,0,"left","right",0.309646412209906,88.2022879521841,19
"4484",1418,30.25,8.4,1,0,0,"left","right",0.0631603743217498,91.6767282356869,24
"4485",1659,36,9.45,1,0,0,"left","left",0.0503791238293325,90.5720845514776,28
"4486",2217,29.16,27.3,0,0,0,"right","right",0.125637364605767,72.860933290756,37
"4487",2350,60.84,28.35,0,0,0,"right","right",0.0461670247022067,76.5121434806267,39
"4488",2660,25,4.2,1,0,0,"left","right",0.0488197770786269,96.2218270456345,44
"4489",2788,17.64,26.25,0,0,0,"left","left",0.192306878061799,75.5427832423455,46
"4490",235,28.09,9.45,0,0,0,"head/body","left",0.0798042530469725,90.7426614112678,4
"4491",615,20.25,17.85,0,0,0,"right","right",0.180678051410558,83.2927667928014,10
"4492",705,10.24,12.6,0,0,0,"left","left",0.353148540601173,90.5720575011963,12
"4493",1464,15.21,25.2,0,0,0,"left","right",0.212976489459295,77.1239528291957,24
"4494",926,21.16,6.3,0,0,0,"head/body","right",0.0969777664871191,94.5756607166981,15
"4495",1303,40.96,1.05,0,0,0,"right","left",0.00461499574071826,99.1944761566893,22
"4496",1309,28.09,2.1,1,0,0,"head/body","right",0.0197035630554687,98.0782243925735,22
"4497",1673,24.01,11.55,0,0,0,"head/body","right",0.120798180005292,89.0123732971995,28
"4498",1713,29.16,23.1,0,0,0,"right","left",0.122757618966467,77.0521615530674,29
"4499",1746,39.69,12.6,0,0,0,"head/body","right",0.0535514221924071,87.585022121365,29
"4500",1920,31.36,10.5,0,0,0,"head/body","right",0.0710269590718832,89.5389278470543,32
"4501",1973,16.81,29.4,0,0,0,"right","left",0.187621712531052,72.6626183123069,33
"4502",2214,50.41,23.1,0,0,0,"left","left",0.05517780280391,78.6314065752356,37
"4503",2355,54.76,14.7,0,0,0,"right","right",0.0335993995231511,87.789906025693,39
"4504",2679,21.16,12.6,1,0,0,"left","left",0.154270121378058,88.3381321966907,45
"4505",561,32.49,8.4,0,0,0,"right","right",0.0552008383449002,91.612445115279,9
"4506",679,42.25,10.5,0,0,0,"head/body","right",0.0408186504842003,89.8794331312787,11
"4507",2088,11.56,9.45,0,0,0,"left","left",0.318857881156381,93.2890995776034,35
"4508",2657,49,25.2,0,0,1,"left","left",0.0609517640431389,76.2891866518447,44
"4509",153,38.44,26.25,0,0,0,"right","right",0.0889993751313102,73.8835306411382,3
"4510",324,40.96,16.8,0,0,0,"right","right",0.0630920214350384,83.4906078550157,5
"4511",524,16.81,6.3,0,0,0,"left","right",0.148210456827943,95.2637711829634,9
"4512",789,51.84,7.35,0,0,0,"right","right",0.0197194939656259,94.3519374469862,13
"4513",1633,31.36,13.65,0,0,0,"left","left",0.0861920359498066,86.3903472617167,27
"4514",2425,44.89,12.6,0,0,0,"right","right",0.0426646763735069,88.0758315316977,40
"4515",2583,46.24,6.3,1,0,0,"head/body","right",0.0213030594921007,94.4960718760309,43
"4516",112,44.89,18.9,0,0,0,"left","right",0.0585816059471163,81.827880945311,2
"4517",235,53.29,21,0,0,0,"left","left",0.0470115072812979,81.3209942142864,4
"4518",753,31.36,22.05,0,0,0,"right","right",0.110385697400041,77.9946927681621,13
"4519",1456,57.76,18.9,0,0,0,"left","left",0.037576542333732,84.5088610738542,24
"4520",1770,49,29.4,0,0,0,"left","left",0.0660814905076748,72.1758962535277,30
"4521",2581,26.01,19.95,1,0,1,"right","left",0.136762508313094,80.4477631758646,43
"4522",2802,10.24,10.5,0,0,0,"right","right",0.364053995183281,92.6001490279578,47
"4523",14,19.36,31.5,0,0,0,"right","right",0.168718344567874,70.0469813767874,0
"4524",364,22.09,35.7,0,0,0,"left","left",0.148310963430785,65.3937160589609,6
"4525",640,16,32.55,0,0,1,"left","left",0.180982724302138,69.8104755749451,11
"4526",994,20.25,31.5,0,0,0,"right","right",0.164513828326249,69.8663903461457,17
"4527",1986,28.09,18.9,0,0,0,"left","left",0.121520767040691,81.3150545717089,33
"4528",1989,11.56,5.25,0,0,0,"left","right",0.254379909575147,97.3710228969584,33
"4529",1993,47.61,7.35,0,0,0,"right","right",0.0233135452285748,93.644298278112,33
"4530",2456,38.44,31.5,0,0,0,"left","left",0.0935914857466079,68.6437440703812,41
"4531",2605,23.04,6.3,0,0,0,"head/body","right",0.0825850613939483,94.3388127972787,43
"4532",2620,38.44,7.35,0,0,0,"head/body","right",0.0354217845206522,92.7563264688722,44
"4533",2656,34.81,29.4,0,0,0,"left","left",0.103957014389276,70.6046464476666,44
"4534",2780,43.56,15.75,0,0,0,"left","right",0.0540198143807255,84.7906604526701,46
"4535",140,10.89,11.55,0,0,0,"left","left",0.340539036752225,91.4192244552534,2
"4536",410,30.25,8.4,0,0,0,"head/body","right",0.0631603743217498,91.6767282356869,7
"4537",881,43.56,14.7,0,0,0,"right","right",0.051191138190244,85.8340468578757,15
"4538",954,44.89,9.45,0,0,0,"right","right",0.033069418424895,91.202492290507,16
"4539",1104,34.81,7.35,0,0,0,"head/body","right",0.0429339877534973,92.6535406770837,18
"4540",1602,7.84,10.5,0,0,0,"right","right",0.451958179574651,93.2448154054691,27
"4541",1733,24.01,2.1,1,0,0,"head/body","right",0.027080865121512,98.4083842972742,29
"4542",1866,13.69,18.9,0,0,0,"right","right",0.254770155862245,83.6044622014878,31
"4543",1908,37.21,4.2,0,0,0,"head/body","left",0.0221330276840596,95.853764141008,32
"4544",2487,8.41,32.55,0,0,0,"right","right",0.210189323753825,72.1411851857176,41
"4545",315,15.21,11.55,1,0,0,"left","left",0.236141683864782,90.4238165529414,5
